model,accuracy,precision,recall,F1
RF cv,0.9538084132711432,0.80533680720914,0.8228346456692913,0.813959307253818
XGB cv,0.9591282643742943,0.8113243985165967,0.8700787401574803,0.8395016687217964
RF Test,0.9593810444874274,0.8410596026490066,0.8758620689655172,0.8581081081081081
XGB test,0.9622823984526112,0.8441558441558441,0.896551724137931,0.8695652173913043
