model,accuracy,precision,recall,F1
RF cv,0.8850574712643677,0.9126700039255057,0.8530534351145038,0.881533434307417
XGB cv,0.6005747126436781,0.5570090215799722,0.9980916030534351,0.7149872788338252
RF Test,0.9045801526717557,0.9333333333333333,0.8682170542635659,0.8995983935742972
XGB test,0.6106870229007634,0.5584415584415584,1.0,0.7166666666666667
